Year,Month,Region,Gas Supply (ton)
2016,1,Seoul,1110948.0
2016,2,Seoul,911323.0
2016,3,Seoul,718859.0
2016,4,Seoul,417299.0
2016,5,Seoul,354428.0
2016,6,Seoul,351269.0
2016,7,Seoul,402772.0
2016,8,Seoul,421003.0
2016,9,Seoul,359315.0
2016,10,Seoul,468053.0
2016,11,Seoul,824234.0
2016,12,Seoul,984626.0
2017,1,Seoul,1070977.0
2017,2,Seoul,963920.0
2017,3,Seoul,863948.0
2017,4,Seoul,546641.0
2017,5,Seoul,522354.0
2017,6,Seoul,566067.0
2017,7,Seoul,569322.0
2017,8,Seoul,503817.0
2017,9,Seoul,401011.0
2017,10,Seoul,472761.0
2017,11,Seoul,881089.0
2017,12,Seoul,1198825.0
2018,1,Seoul,1306019.0
2018,2,Seoul,1083940.0
2018,3,Seoul,861854.0
2018,4,Seoul,623094.0
2018,5,Seoul,545501.0
2018,6,Seoul,513890.0
2018,7,Seoul,550413.0
2018,8,Seoul,562150.0
2018,9,Seoul,411668.0
2018,10,Seoul,650091.0
2018,11,Seoul,802986.0
2018,12,Seoul,1156423.0
2019,1,Seoul,1197115.0
2019,2,Seoul,947086.0
2019,3,Seoul,802516.0
2019,4,Seoul,659011.0
2019,5,Seoul,497942.0
2019,6,Seoul,425937.0
2019,7,Seoul,549816.0
2019,8,Seoul,541424.0
2019,9,Seoul,436463.0
2019,10,Seoul,489290.0
2019,11,Seoul,788723.0
2019,12,Seoul,1166071.0
2020,1,Seoul,1110884.0
2020,2,Seoul,985989.0
2020,3,Seoul,831554.0
2020,4,Seoul,537303.0
2020,5,Seoul,373143.0
2020,6,Seoul,394160.0
2020,7,Seoul,479846.0
2020,8,Seoul,532177.0
2020,9,Seoul,461306.0
2020,10,Seoul,620140.0
2020,11,Seoul,831239.0
2020,12,Seoul,1184955.0
2021,1,Seoul,1338144.0
2021,2,Seoul,971174.0
2021,3,Seoul,865161.0
2021,4,Seoul,690465.0
2021,5,Seoul,611957.0
2021,6,Seoul,572954.0
2021,7,Seoul,622627.0
2021,8,Seoul,551406.0
2021,9,Seoul,504815.0
2021,10,Seoul,575335.0
2021,11,Seoul,726139.0
2021,12,Seoul,1152261.0
2022,1,Seoul,1276252.0
2022,2,Seoul,1161806.0
2022,3,Seoul,1071808.0
2022,4,Seoul,650491.0
2022,5,Seoul,515321.0
2022,6,Seoul,503587.0
2022,7,Seoul,625680.0
2022,8,Seoul,587234.0
2022,9,Seoul,460115.0
2022,10,Seoul,557746.0
2022,11,Seoul,786233.0
2022,12,Seoul,1298883.0
2023,1,Seoul,1253568.0
2023,2,Seoul,918582.0
2023,3,Seoul,845395.0
2023,4,Seoul,601474.0
2023,5,Seoul,553259.0
2023,6,Seoul,507876.0
2023,7,Seoul,577540.0
2023,8,Seoul,589199.0
2023,9,Seoul,515989.0
2023,10,Seoul,562657.0
2023,11,Seoul,890412.0
2023,12,Seoul,1133513.0
2024,1,Seoul,1226775.0
2024,2,Seoul,967913.0
2024,3,Seoul,923777.0
2024,4,Seoul,563526.0
2024,5,Seoul,504670.0
2024,6,Seoul,538479.0
2024,7,Seoul,582640.0
2024,8,Seoul,617212.0
2024,9,Seoul,538893.0
2024,10,Seoul,503881.0
2024,11,Seoul,689002.0
2024,12,Seoul,1105286.0
2016,1,Incheon,539952.0
2016,2,Incheon,441262.0
2016,3,Incheon,387889.0
2016,4,Incheon,288915.0
2016,5,Incheon,278423.0
2016,6,Incheon,367304.0
2016,7,Incheon,445710.0
2016,8,Incheon,427250.0
2016,9,Incheon,356851.0
2016,10,Incheon,485370.0
2016,11,Incheon,486448.0
2016,12,Incheon,488382.0
2017,1,Incheon,483790.0
2017,2,Incheon,442495.0
2017,3,Incheon,372899.0
2017,4,Incheon,284591.0
2017,5,Incheon,296970.0
2017,6,Incheon,318623.0
2017,7,Incheon,450168.0
2017,8,Incheon,377675.0
2017,9,Incheon,238982.0
2017,10,Incheon,211570.0
2017,11,Incheon,408925.0
2017,12,Incheon,526482.0
2018,1,Incheon,525265.0
2018,2,Incheon,426179.0
2018,3,Incheon,397067.0
2018,4,Incheon,431445.0
2018,5,Incheon,373293.0
2018,6,Incheon,330485.0
2018,7,Incheon,402524.0
2018,8,Incheon,450755.0
2018,9,Incheon,237015.0
2018,10,Incheon,321786.0
2018,11,Incheon,338511.0
2018,12,Incheon,467986.0
2019,1,Incheon,479524.0
2019,2,Incheon,408251.0
2019,3,Incheon,421617.0
2019,4,Incheon,373103.0
2019,5,Incheon,294030.0
2019,6,Incheon,263872.0
2019,7,Incheon,340993.0
2019,8,Incheon,363493.0
2019,9,Incheon,283959.0
2019,10,Incheon,308546.0
2019,11,Incheon,415026.0
2019,12,Incheon,563785.0
2020,1,Incheon,524578.0
2020,2,Incheon,451125.0
2020,3,Incheon,402468.0
2020,4,Incheon,303158.0
2020,5,Incheon,218414.0
2020,6,Incheon,294017.0
2020,7,Incheon,295606.0
2020,8,Incheon,442312.0
2020,9,Incheon,398901.0
2020,10,Incheon,397655.0
2020,11,Incheon,439241.0
2020,12,Incheon,580969.0
2021,1,Incheon,592949.0
2021,2,Incheon,467460.0
2021,3,Incheon,530591.0
2021,4,Incheon,420291.0
2021,5,Incheon,389712.0
2021,6,Incheon,415398.0
2021,7,Incheon,509419.0
2021,8,Incheon,500464.0
2021,9,Incheon,406730.0
2021,10,Incheon,449305.0
2021,11,Incheon,465165.0
2021,12,Incheon,486425.0
2022,1,Incheon,521360.0
2022,2,Incheon,476089.0
2022,3,Incheon,484070.0
2022,4,Incheon,357760.0
2022,5,Incheon,390966.0
2022,6,Incheon,382064.0
2022,7,Incheon,419897.0
2022,8,Incheon,405741.0
2022,9,Incheon,418087.0
2022,10,Incheon,426897.0
2022,11,Incheon,449831.0
2022,12,Incheon,644437.0
2023,1,Incheon,563120.0
2023,2,Incheon,551673.0
2023,3,Incheon,397333.0
2023,4,Incheon,316215.0
2023,5,Incheon,279204.0
2023,6,Incheon,380897.0
2023,7,Incheon,435767.0
2023,8,Incheon,468313.0
2023,9,Incheon,381731.0
2023,10,Incheon,387412.0
2023,11,Incheon,369652.0
2023,12,Incheon,469101.0
2024,1,Incheon,522061.0
2024,2,Incheon,419144.0
2024,3,Incheon,509381.0
2024,4,Incheon,371793.0
2024,5,Incheon,388221.0
2024,6,Incheon,434245.0
2024,7,Incheon,522503.0
2024,8,Incheon,570614.0
2024,9,Incheon,468590.0
2024,10,Incheon,354772.0
2024,11,Incheon,343299.0
2024,12,Incheon,450032.0
2016,1,Gwangju,220168.0
2016,2,Gwangju,200121.0
2016,3,Gwangju,210464.0
2016,4,Gwangju,157493.0
2016,5,Gwangju,145237.0
2016,6,Gwangju,138729.0
