년,월,시도,시군구,대상가구수(호),가구당 평균 전력 사용량(kWh),가구당 평균 전기요금(원)
2015,1,서울특별시,강남구,255180.0,258.0,40164.0
2015,1,서울특별시,강동구,184315.0,258.0,35946.0
2015,1,서울특별시,강북구,145629.0,242.0,32793.0
2015,1,서울특별시,강서구,241797.0,243.0,32866.0
2015,1,서울특별시,관악구,267173.0,210.0,26685.0
2015,1,서울특별시,광진구,170064.0,228.0,32059.0
2015,1,서울특별시,구로구,185682.0,251.0,33116.0
2015,1,서울특별시,금천구,110935.0,228.0,29525.0
2015,1,서울특별시,노원구,217493.0,269.0,33324.0
2015,1,서울특별시,도봉구,138947.0,268.0,35831.0
2015,1,서울특별시,동대문구,175302.0,234.0,32028.0
2015,1,서울특별시,동작구,181585.0,234.0,32088.0
2015,1,서울특별시,마포구,181654.0,235.0,32341.0
2015,1,서울특별시,서대문구,142257.0,241.0,33612.0
2015,1,서울특별시,서초구,175753.0,284.0,47508.0
2015,1,서울특별시,성동구,126600.0,263.0,35849.0
2015,1,서울특별시,성북구,200214.0,254.0,36750.0
2015,1,서울특별시,송파구,254805.0,264.0,38262.0
2015,1,서울특별시,양천구,180602.0,271.0,37584.0
2015,1,서울특별시,영등포구,182481.0,241.0,32421.0
2015,1,서울특별시,용산구,119613.0,253.0,41117.0
2015,1,서울특별시,은평구,205298.0,249.0,35493.0
2015,1,서울특별시,종로구,80176.0,233.0,37820.0
2015,1,서울특별시,중구,63709.0,238.0,34800.0
2015,1,서울특별시,중랑구,178133.0,244.0,32975.0
2015,2,서울특별시,강남구,256092.0,247.0,36597.0
2015,2,서울특별시,강동구,184304.0,251.0,34065.0
2015,2,서울특별시,강북구,145549.0,237.0,31391.0
2015,2,서울특별시,강서구,242106.0,239.0,31721.0
2015,2,서울특별시,관악구,267482.0,206.0,25728.0
2015,2,서울특별시,광진구,170079.0,222.0,30417.0
2015,2,서울특별시,구로구,185976.0,244.0,31494.0
2015,2,서울특별시,금천구,111069.0,223.0,28105.0
2015,2,서울특별시,노원구,217600.0,265.0,32231.0
2015,2,서울특별시,도봉구,139037.0,264.0,34782.0
2015,2,서울특별시,동대문구,174746.0,227.0,30342.0
2015,2,서울특별시,동작구,181642.0,230.0,30735.0
2015,2,서울특별시,마포구,181678.0,230.0,30913.0
2015,2,서울특별시,서대문구,142252.0,233.0,31480.0
2015,2,서울특별시,서초구,176899.0,271.0,43317.0
2015,2,서울특별시,성동구,128209.0,253.0,33490.0
2015,2,서울특별시,성북구,199936.0,249.0,35099.0
2015,2,서울특별시,송파구,254748.0,260.0,36826.0
2015,2,서울특별시,양천구,180775.0,265.0,35822.0
2015,2,서울특별시,영등포구,182743.0,232.0,29918.0
2015,2,서울특별시,용산구,119451.0,247.0,39007.0
2015,2,서울특별시,은평구,205426.0,243.0,33802.0
2015,2,서울특별시,종로구,80152.0,225.0,35047.0
2015,2,서울특별시,중구,63807.0,232.0,32785.0
2015,2,서울특별시,중랑구,177588.0,239.0,31675.0
2015,3,서울특별시,강남구,254744.0,227.0,31333.0
2015,3,서울특별시,강동구,184110.0,221.0,26704.0
2015,3,서울특별시,강북구,145615.0,208.0,24604.0
2015,3,서울특별시,강서구,242323.0,211.0,24974.0
2015,3,서울특별시,관악구,267684.0,179.0,19905.0
2015,3,서울특별시,광진구,170221.0,196.0,23916.0
2015,3,서울특별시,구로구,186062.0,218.0,25246.0
2015,3,서울특별시,금천구,111089.0,196.0,22172.0
2015,3,서울특별시,노원구,217598.0,232.0,25288.0
2015,3,서울특별시,도봉구,139116.0,231.0,27007.0
2015,3,서울특별시,동대문구,174809.0,201.0,24102.0
2015,3,서울특별시,동작구,181784.0,201.0,24011.0
2015,3,서울특별시,마포구,181612.0,201.0,24020.0
2015,3,서울특별시,서대문구,142125.0,208.0,25412.0
2015,3,서울특별시,서초구,176966.0,247.0,36236.0
2015,3,서울특별시,성동구,128190.0,223.0,26606.0
2015,3,서울특별시,성북구,199925.0,219.0,27481.0
2015,3,서울특별시,송파구,254833.0,229.0,28839.0
2015,3,서울특별시,양천구,180827.0,238.0,29207.0
2015,3,서울특별시,영등포구,182806.0,210.0,25235.0
2015,3,서울특별시,용산구,119405.0,217.0,30634.0
