Year,Month,Province,Number of Households,Avg Power Consumption per Household (kWh),Avg Electricity Btill per Household (KRW),Number of Tropical Nights,Number of Heatwave Days,Number of Coldwave Days
2015,1,Busan,1558225,260,36195,0,0,0
2015,2,Busan,1559049,256,34946,0,0,0
2015,3,Busan,1559935,226,27443,0,0,0
2015,4,Busan,1561625,235,29409,0,0,0
2015,5,Busan,1562685,216,25024,0,0,0
2015,6,Busan,1568058,215,24966,0,0,0
2015,7,Busan,1570868,213,23707,4,0,0
2015,8,Busan,1573378,267,36677,7,1,0
2015,9,Busan,1575578,229,26680,0,0,0
2015,10,Busan,1575561,209,23410,0,0,0
2015,11,Busan,1576655,223,26721,0,0,0
2015,12,Busan,1577422,232,28880,0,0,0
2016,1,Busan,1578035,252,33857,0,0,0
2016,2,Busan,1578670,259,35655,0,0,0
2016,3,Busan,1581217,229,28131,0,0,0
2016,4,Busan,1583294,231,28347,0,0,0
2016,5,Busan,1583438,213,24309,0,0,0
2016,6,Busan,1590708,213,24608,0,0,0
2016,7,Busan,1592263,225,27490,8,0,0
2016,8,Busan,1592684,292,45463,22,9,0
2016,9,Busan,1592880,246,17642,0,0,0
2016,10,Busan,1593916,211,22586,0,0,0
2016,11,Busan,1597005,221,26251,0,0,0
2016,12,Busan,1598617,229,26348,0,0,0
2017,1,Busan,1601582,245,27558,0,0,0
2017,2,Busan,1601878,250,28339,0,0,0
2017,3,Busan,1607081,215,21528,0,0,0
2017,4,Busan,1608674,228,24170,0,0,0
2017,5,Busan,1612704,207,20568,0,0,0
2017,6,Busan,1615405,207,20445,0,0,0
2017,7,Busan,1616132,235,25430,5,0,0
2017,8,Busan,1617783,286,35934,14,6,0
2017,9,Busan,1622926,239,26167,0,0,0
2017,10,Busan,1624934,206,20312,0,0,0
2017,11,Busan,1627778,216,22036,0,0,0
2017,12,Busan,1629481,230,24623,0,0,0
2018,1,Busan,1630028,251,28548,0,0,0
2018,2,Busan,1632549,254,29166,0,0,0
2018,3,Busan,1634902,217,22290,0,0,0
2018,4,Busan,1636437,224,23408,0,0,0
2018,5,Busan,1640316,209,20747,0,0,0
2018,6,Busan,1641703,212,21256,0,0,0
2018,7,Busan,1642751,239,26315,17,9,0
2018,8,Busan,1646890,334,37124,20,9,0
2018,9,Busan,1649343,251,23816,0,0,0
2018,10,Busan,1649959,206,20063,0,0,0
2018,11,Busan,1655757,213,21502,0,0,0
2018,12,Busan,1656282,225,23470,0,0,0
2019,1,Busan,1658875,246,27453,0,0,0
2019,2,Busan,1660736,244,26971,0,0,0
2019,3,Busan,1662504,210,20903,0,0,0
2019,4,Busan,1666477,221,22827,0,0,0
2019,5,Busan,1668722,205,20107,0,0,0
2019,6,Busan,1673460,206,20206,0,0,0
2019,7,Busan,1678972,212,19216,5,0,0
2019,8,Busan,1678813,291,30607,19,3,0
2019,9,Busan,1679329,265,28287,3,0,0
2019,10,Busan,1682703,214,21544,0,0,0
2019,11,Busan,1688225,213,21377,0,0,0
2019,12,Busan,1690356,222,22998,0,0,0
2020,1,Busan,1692810,240,26621,0,0,0
2020,2,Busan,1695814,243,27035,0,0,0
2020,3,Busan,1697638,227,24090,0,0,0
2020,4,Busan,1701204,231,24828,0,0,0
2020,5,Busan,1701418,214,21771,0,0,0
2020,6,Busan,1704717,216,22054,0,0,0
2020,7,Busan,1705416,221,21000,0,0,0
2020,8,Busan,1704536,277,28599,14,4,0
2020,9,Busan,1707813,300,35631,1,0,0
2020,10,Busan,1707535,213,21455,0,0,0
2020,11,Busan,1708748,219,22432,0,0,0
2020,12,Busan,1714841,231,24643,0,0,0
2021,1,Busan,1716952,259,29547,0,0,1
2021,2,Busan,1717002,250,27727,0,0,0
2021,3,Busan,1719544,215,21305,0,0,0
2021,4,Busan,1721700,223,22741,0,0,0
2021,5,Busan,1726843,209,20396,0,0,0
2021,6,Busan,1728096,217,21543,0,0,0
2021,7,Busan,1731034,242,24276,17,0,0
2021,8,Busan,1730634,323,37161,8,3,0
2021,9,Busan,1730895,268,28709,0,0,0
2021,10,Busan,1733848,221,23435,0,0,0
2021,11,Busan,1736148,219,23105,0,0,0
2021,12,Busan,1738570,225,24124,0,0,0
2022,1,Busan,1737741,249,28506,0,0,0
2022,2,Busan,1717997,251,29315,0,0,0
2022,3,Busan,1722026,221,23670,0,0,0
2022,4,Busan,1726489,226,23949,0,0,0
2022,5,Busan,1728411,206,21192,0,0,0
2022,6,Busan,1730594,212,22059,0,0,0
2022,7,Busan,1733481,261,28750,8,0,0
2022,8,Busan,1737097,319,37149,16,1,0
2022,9,Busan,1736692,269,29837,2,0,0
2022,10,Busan,1736686,214,23354,0,0,0
2022,11,Busan,1737869,213,24144,0,0,0
2022,12,Busan,1739044,223,25746,0,0,0
2023,1,Busan,1740119,248,32034,0,0,1
2023,2,Busan,1742852,245,33159,0,0,0
2023,3,Busan,1743998,208,25983,0,0,0
2023,4,Busan,1746937,216,27512,0,0,0
2023,5,Busan,1752949,206,25758,0,0,0
2023,6,Busan,1756039,215,28518,0,0,0
2023,7,Busan,1759506,243,32493,7,1,0
2023,8,Busan,1763212,328,48406,20,8,0
2023,9,Busan,1764093,300,44699,0,0,0
2023,10,Busan,1764332,222,30677,0,0,0
2023,11,Busan,1766209,211,28233,0,0,0
2023,12,Busan,1766819,223,30527,0,0,0
2024,1,Busan,1768983,243,34755,0,0,0
2024,2,Busan,1772699,242,34557,0,0,0
2024,3,Busan,1776944,219,29933,0,0,0
2024,4,Busan,1777635,220,30140,0,0,0
2024,5,Busan,1778034,204,27059,0,0,0
2024,6,Busan,1780456,213,28761,0,0,0
2024,7,Busan,1781988,250,34155,10,0,0
2024,8,Busan,1783171,359,43332,29,15,0
2024,9,Busan,1784735,355,44686,16,7,0
2024,10,Busan,1785593,251,37009,0,0,0
2024,11,Busan,1787503,214,28665,0,0,0
2024,12,Busan,1788413,220,30004,0,0,0
2015,1,Daegu,1096699,253,34078,0,0,0
2015,2,Daegu,1097876,247,32514,0,0,0
2015,3,Daegu,1098950,220,25822,0,0,0
2015,4,Daegu,1102292,227,27401,0,0,0
2015,5,Daegu,1103860,209,23602,0,2,0
2015,6,Daegu,1106521,212,24250,0,2,0
2015,7,Daegu,1108467,212,23504,8,6,0
2015,8,Daegu,1112356,283,40956,2,11,0
2015,9,Daegu,1118526,223,25634,0,0,0
2015,10,Daegu,1121512,203,22244,0,0,0
2015,11,Daegu,1125525,218,25720,0,0,0
2015,12,Daegu,1129439,227,27748,0,0,0
2016,1,Daegu,1133232,242,31649,0,0,1
2016,2,Daegu,1138593,245,32548,0,0,0
2016,3,Daegu,1141162,219,26028,0,0,0
2016,4,Daegu,1143613,219,25953,0,0,0
2016,5,Daegu,1146168,203,22590,0,0,0
2016,6,Daegu,1149660,206,23452,0,1,0
2016,7,Daegu,1153750,221,26834,5,10,0
2016,8,Daegu,1156782,297,47988,9,21,0
2016,9,Daegu,1158525,244,16561,0,0,0
2016,10,Daegu,1160062,203,21082,0,0,0
2016,11,Daegu,1165313,214,24978,0,0,0
2016,12,Daegu,1165840,221,25079,0,0,0
2017,1,Daegu,1170692,235,25828,0,0,0
2017,2,Daegu,1171845,237,26229,0,0,0
2017,3,Daegu,1172737,207,20179,0,0,0
2017,4,Daegu,1177330,216,22175,0,0,0
2017,5,Daegu,1178188,200,19372,0,2,0
