년,월,시도,시군구,대상가구수(호),가구당 평균 전력 사용량(kWh),가구당 평균 전기요금(원),열대야일수,폭염일수,한파일수
2015,1,부산광역시,전체,1558225,260,36195,0,0,0
2015,2,부산광역시,전체,1559049,256,34946,0,0,0
2015,3,부산광역시,전체,1559935,226,27443,0,0,0
2015,4,부산광역시,전체,1561625,235,29409,0,0,0
2015,5,부산광역시,전체,1562685,216,25024,0,0,0
2015,6,부산광역시,전체,1568058,215,24966,0,0,0
2015,7,부산광역시,전체,1570868,213,23707,4,0,0
2015,8,부산광역시,전체,1573378,267,36677,7,1,0
2015,9,부산광역시,전체,1575578,229,26680,0,0,0
2015,10,부산광역시,전체,1575561,209,23410,0,0,0
2015,11,부산광역시,전체,1576655,223,26721,0,0,0
2015,12,부산광역시,전체,1577422,232,28880,0,0,0
2016,1,부산광역시,전체,1578035,252,33857,0,0,0
2016,2,부산광역시,전체,1578670,259,35655,0,0,0
2016,3,부산광역시,전체,1581217,229,28131,0,0,0
2016,4,부산광역시,전체,1583294,231,28347,0,0,0
2016,5,부산광역시,전체,1583438,213,24309,0,0,0
2016,6,부산광역시,전체,1590708,213,24608,0,0,0
2016,7,부산광역시,전체,1592263,225,27490,8,0,0
2016,8,부산광역시,전체,1592684,292,45463,22,9,0
2016,9,부산광역시,전체,1592880,246,17642,0,0,0
2016,10,부산광역시,전체,1593916,211,22586,0,0,0
2016,11,부산광역시,전체,1597005,221,26251,0,0,0
2016,12,부산광역시,전체,1598617,229,26348,0,0,0
2017,1,부산광역시,전체,1601582,245,27558,0,0,0
2017,2,부산광역시,전체,1601878,250,28339,0,0,0
2017,3,부산광역시,전체,1607081,215,21528,0,0,0
2017,4,부산광역시,전체,1608674,228,24170,0,0,0
2017,5,부산광역시,전체,1612704,207,20568,0,0,0
2017,6,부산광역시,전체,1615405,207,20445,0,0,0
2017,7,부산광역시,전체,1616132,235,25430,5,0,0
2017,8,부산광역시,전체,1617783,286,35934,14,6,0
2017,9,부산광역시,전체,1622926,239,26167,0,0,0
2017,10,부산광역시,전체,1624934,206,20312,0,0,0
2017,11,부산광역시,전체,1627778,216,22036,0,0,0
2017,12,부산광역시,전체,1629481,230,24623,0,0,0
2018,1,부산광역시,전체,1630028,251,28548,0,0,0
2018,2,부산광역시,전체,1632549,254,29166,0,0,0
2018,3,부산광역시,전체,1634902,217,22290,0,0,0
2018,4,부산광역시,전체,1636437,224,23408,0,0,0
2018,5,부산광역시,전체,1640316,209,20747,0,0,0
2018,6,부산광역시,전체,1641703,212,21256,0,0,0
2018,7,부산광역시,전체,1642751,239,26315,17,9,0
2018,8,부산광역시,전체,1646890,334,37124,20,9,0
2018,9,부산광역시,전체,1649343,251,23816,0,0,0
2018,10,부산광역시,전체,1649959,206,20063,0,0,0
2018,11,부산광역시,전체,1655757,213,21502,0,0,0
2018,12,부산광역시,전체,1656282,225,23470,0,0,0
2019,1,부산광역시,전체,1658875,246,27453,0,0,0
2019,2,부산광역시,전체,1660736,244,26971,0,0,0
2019,3,부산광역시,전체,1662504,210,20903,0,0,0
2019,4,부산광역시,전체,1666477,221,22827,0,0,0
2019,5,부산광역시,전체,1668722,205,20107,0,0,0
2019,6,부산광역시,전체,1673460,206,20206,0,0,0
2019,7,부산광역시,전체,1678972,212,19216,5,0,0
2019,8,부산광역시,전체,1678813,291,30607,19,3,0
2019,9,부산광역시,전체,1679329,265,28287,3,0,0
2019,10,부산광역시,전체,1682703,214,21544,0,0,0
2019,11,부산광역시,전체,1688225,213,21377,0,0,0
2019,12,부산광역시,전체,1690356,222,22998,0,0,0
2020,1,부산광역시,전체,1692810,240,26621,0,0,0
2020,2,부산광역시,전체,1695814,243,27035,0,0,0
2020,3,부산광역시,전체,1697638,227,24090,0,0,0
2020,4,부산광역시,전체,1701204,231,24828,0,0,0
2020,5,부산광역시,전체,1701418,214,21771,0,0,0
2020,6,부산광역시,전체,1704717,216,22054,0,0,0
2020,7,부산광역시,전체,1705416,221,21000,0,0,0
2020,8,부산광역시,전체,1704536,277,28599,14,4,0
2020,9,부산광역시,전체,1707813,300,35631,1,0,0
2020,10,부산광역시,전체,1707535,213,21455,0,0,0
2020,11,부산광역시,전체,1708748,219,22432,0,0,0
2020,12,부산광역시,전체,1714841,231,24643,0,0,0
2021,1,부산광역시,전체,1716952,259,29547,0,0,1
2021,2,부산광역시,전체,1717002,250,27727,0,0,0
2021,3,부산광역시,전체,1719544,215,21305,0,0,0
2021,4,부산광역시,전체,1721700,223,22741,0,0,0
2021,5,부산광역시,전체,1726843,209,20396,0,0,0
2021,6,부산광역시,전체,1728096,217,21543,0,0,0
2021,7,부산광역시,전체,1731034,242,24276,17,0,0
2021,8,부산광역시,전체,1730634,323,37161,8,3,0
2021,9,부산광역시,전체,1730895,268,28709,0,0,0
2021,10,부산광역시,전체,1733848,221,23435,0,0,0
2021,11,부산광역시,전체,1736148,219,23105,0,0,0
2021,12,부산광역시,전체,1738570,225,24124,0,0,0
2022,1,부산광역시,전체,1737741,249,28506,0,0,0
2022,2,부산광역시,전체,1717997,251,29315,0,0,0
2022,3,부산광역시,전체,1722026,221,23670,0,0,0
2022,4,부산광역시,전체,1726489,226,23949,0,0,0
2022,5,부산광역시,전체,1728411,206,21192,0,0,0
2022,6,부산광역시,전체,1730594,212,22059,0,0,0
2022,7,부산광역시,전체,1733481,261,28750,8,0,0
2022,8,부산광역시,전체,1737097,319,37149,16,1,0
2022,9,부산광역시,전체,1736692,269,29837,2,0,0
2022,10,부산광역시,전체,1736686,214,23354,0,0,0
2022,11,부산광역시,전체,1737869,213,24144,0,0,0
2022,12,부산광역시,전체,1739044,223,25746,0,0,0
2023,1,부산광역시,전체,1740119,248,32034,0,0,1
2023,2,부산광역시,전체,1742852,245,33159,0,0,0
2023,3,부산광역시,전체,1743998,208,25983,0,0,0
2023,4,부산광역시,전체,1746937,216,27512,0,0,0
2023,5,부산광역시,전체,1752949,206,25758,0,0,0
2023,6,부산광역시,전체,1756039,215,28518,0,0,0
2023,7,부산광역시,전체,1759506,243,32493,7,1,0
2023,8,부산광역시,전체,1763212,328,48406,20,8,0
2023,9,부산광역시,전체,1764093,300,44699,0,0,0
2023,10,부산광역시,전체,1764332,222,30677,0,0,0
