Date,Location,Number of Households,Avg Power Consumption per Household (kWh),Avg Electricity Btill per Household (KRW),Number of Tropical Nights,Number of Heatwave Days,Number of Coldwave Days,Year,Month,Avg Temperature (Celsius),Avg Max Temperature (Celsius),Avg Min Temperature (Celsius),Avg Local Pressure (hPa),Avg Sea Level Pressure (hPa),Avg Vapor Pressure (hPa),Avg Dew Point Temp (Celsius),Avg Relative Humidity (%),Monthly Precipitation (mm),Small Pan Evaporation (mm),Avg Wind Speed (m/s),Max Wind Speed (m/s),Avg Cloud Cover (1/10),Total Sunshine Hours (hr),Sunshine Rate (%),Total Solar Radiation (MJ/m^2),Avg Min Surface Temp (Celsius),Avg Ground Temp (Celsius)
2015-01-01,Busan,1558225,260,36195,0,0,0,2015,1,4.7,9.4,0.9,1013.9,1022.5,4.9,-4.9,53,50.7,63.8,3.1,10.3,3.3,216.4,69.09,302.41,-3.2,3.3
2015-02-01,Busan,1559049,256,34946,0,0,0,2015,2,5.4,10.2,1.4,1012.3,1021.0,5.1,-3.9,54,30.5,59.5,3.3,9.9,3.7,191.8,62.74,321.3,-2.7,5.4
2015-03-01,Busan,1559935,226,27443,0,0,0,2015,3,9.5,14.3,5.4,1012.0,1020.4,6.6,-0.5,54,76.5,103.3,3.5,10.3,3.1,274.3,73.94,518.86,1.0,10.3
2015-04-01,Busan,1561625,235,29409,0,0,0,2015,4,13.9,17.8,10.6,1008.0,1016.3,10.9,7.5,69,268.0,101.5,3.5,14.8,6.1,186.1,47.46,444.07,8.0,15.3
2015-05-01,Busan,1562685,216,25024,0,0,0,2015,5,18.8,22.9,15.4,1001.8,1009.9,14.4,11.9,67,183.0,148.7,3.0,13.3,4.3,277.5,63.93,644.85,12.6,22.0
2015-06-01,Busan,1568058,215,24966,0,0,0,2015,6,21.0,24.7,18.4,999.7,1007.7,19.9,17.2,80,69.2,101.4,2.6,10.8,7.2,162.4,37.39,462.18,16.3,24.9
2015-07-01,Busan,1570868,213,23707,4,0,0,2015,7,23.9,27.0,21.7,1000.0,1007.9,24.6,20.6,83,176.7,111.7,3.7,13.4,7.1,187.6,42.4,487.4,20.9,26.3
2015-08-01,Busan,1573378,267,36677,7,1,0,2015,8,26.1,29.3,23.5,1000.5,1008.3,26.5,22.0,79,132.5,133.5,3.0,10.2,5.7,218.6,52.35,508.25,21.3,29.6
2015-09-01,Busan,1575578,229,26680,0,0,0,2015,9,22.1,25.9,19.2,1005.6,1013.6,19.5,16.9,74,172.0,109.4,2.9,7.0,5.3,212.8,57.13,442.84,15.8,23.0
2015-10-01,Busan,1575561,209,23410,0,0,0,2015,10,18.1,22.9,14.4,1009.9,1018.1,13.0,10.1,62,62.0,113.6,2.9,15.1,2.4,280.2,79.83,450.76,9.9,18.2
2015-11-01,Busan,1576655,223,26721,0,0,0,2015,11,13.6,17.5,10.9,1013.8,1022.2,11.7,8.5,73,124.1,61.8,2.7,10.7,6.1,134.4,43.24,226.31,8.4,13.0
2015-12-01,Busan,1577422,232,28880,0,0,0,2015,12,7.9,12.4,4.4,1015.1,1023.7,6.7,-0.3,59,51.5,62.1,3.0,11.1,3.8,192.7,63.14,256.65,1.1,6.3
2016-01-01,Busan,1578035,252,33857,0,0,0,2016,1,3.1,7.6,-0.3,1014.1,1022.8,4.0,-7.3,49,59.5,70.0,3.5,12.5,3.3,209.1,66.83,286.39,-3.5,2.5
2016-02-01,Busan,1578670,259,35655,0,0,0,2016,2,5.5,10.4,1.3,1014.4,1023.0,4.7,-5.5,48,63.7,77.1,3.7,13.5,3.4,231.5,73.05,381.9,-1.9,5.9
2016-03-01,Busan,1581217,229,28131,0,0,0,2016,3,9.9,14.4,6.3,1012.4,1020.9,7.8,2.1,61,133.5,79.7,3.2,13.0,4.7,219.6,59.08,447.31,2.9,10.7
2016-04-01,Busan,1583294,231,28347,0,0,0,2016,4,15.1,19.2,11.9,1005.6,1013.8,11.0,7.8,66,198.5,100.8,3.2,15.1,5.2,214.3,54.53,495.68,8.7,16.5
2016-05-01,Busan,1583438,213,24309,0,0,0,2016,5,19.3,23.7,15.7,1004.0,1012.1,14.1,11.6,64,108.8,140.2,3.4,15.5,4.6,265.9,61.17,611.92,11.2,22.2
