지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),	최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
159,부산,2015-01,4.7,9.4,13.9,2015-01-26,0.9,-4.9,2015-01-01
159,부산,2015-02,5.4,10.2,15.4,2015-02-22,1.4,-7.8,2015-02-09
159,부산,2015-03,9.5,14.3,20.9,2015-03-21,5.4,-4.1,2015-03-10
159,부산,2015-04,13.9,17.8,23.9,2015-04-27,10.6,5.9,2015-04-09
159,부산,2015-05,18.8,22.9,30.2,2015-05-26,15.4,12.3,2015-05-05
159,부산,2015-06,21.0,24.7,28.1,2015-06-04,18.4,13.7,2015-06-06
159,부산,2015-07,23.9,27.0,31.9,2015-07-31,21.7,18.4,2015-07-05
159,부산,2015-08,26.1,29.3,33.5,2015-08-10,23.5,20.5,2015-08-26
159,부산,2015-09,22.1,25.9,28.8,2015-09-03,19.2,17.0,2015-09-16
159,부산,2015-10,18.1,22.9,26.5,2015-10-20,14.4,5.8,2015-10-31
159,부산,2015-11,13.6,17.5,23.6,2015-11-05,10.9,1.1,2015-11-27
159,부산,2015-12,7.9,12.4,17.3,2015-12-08,4.4,-2.5,2015-12-18
159,부산,2016-01,3.1,7.6,16.6,2016-01-03,-0.3,-10.2,2016-01-24
159,부산,2016-02,5.5,10.4,15.8,2016-02-13,1.3,-4.0,2016-02-02
159,부산,2016-03,9.9,14.4,19.6,2016-03-30,6.3,-4.3,2016-03-01
159,부산,2016-04,15.1,19.2,24.2,2016-04-26,11.9,8.0,2016-04-12
159,부산,2016-05,19.3,23.7,30.5,2016-05-31,15.7,11.5,2016-05-16
159,부산,2016-06,21.9,25.3,28.7,2016-06-20,19.5,15.7,2016-06-02
159,부산,2016-07,25.3,28.5,32.7,2016-07-30,23.0,19.5,2016-07-07
159,부산,2016-08,27.7,31.8,37.3,2016-08-14,24.6,17.5,2016-08-29
159,부산,2016-09,22.9,26.3,29.7,2016-09-27,20.7,17.1,2016-09-30
159,부산,2016-10,18.7,22.3,28.3,2016-10-03,16.1,9.8,2016-10-30
159,부산,2016-11,11.8,16.4,20.8,2016-11-18,8.3,0.1,2016-11-24
159,부산,2016-12,7.3,12.1,17.6,2016-12-22,3.2,-3.2,2016-12-16
159,부산,2017-01,4.1,9.1,15.1,2017-01-02,0.1,-7.7,2017-01-15
159,부산,2017-02,5.5,10.8,17.7,2017-02-17,0.9,-5.7,2017-02-11
159,부산,2017-03,9.0,13.9,18.1,2017-03-30,5.2,-2.3,2017-03-08
159,부산,2017-04,15.0,19.0,23.2,2017-04-30,11.4,5.0,2017-04-02
159,부산,2017-05,19.0,23.7,28.2,2017-05-25,15.4,12.8,2017-05-03
159,부산,2017-06,21.3,25.2,30.4,2017-06-15,18.4,15.4,2017-06-02
159,부산,2017-07,26.1,29.2,32.7,2017-07-22,23.6,21.2,2017-07-05
159,부산,2017-08,27.0,30.5,36.2,2017-08-06,24.3,18.7,2017-08-31
159,부산,2017-09,22.6,26.5,29.7,2017-09-09,19.6,14.5,2017-09-29
159,부산,2017-10,18.1,22.3,28.7,2017-10-10,15.1,7.3,2017-10-30
159,부산,2017-11,11.2,16.3,23.6,2017-11-08,6.9,-1.0,2017-11-19
159,부산,2017-12,3.6,8.6,14.5,2017-12-03,-0.7,-6.1,2017-12-12
159,부산,2018-01,1.9,6.5,14.0,2018-01-15,-1.9,-9.9,2018-01-26
159,부산,2018-02,3.9,8.9,14.7,2018-02-27,-0.2,-9.6,2018-02-07
159,부산,2018-03,10.0,14.5,22.3,2018-03-29,6.0,-0.7,2018-03-02
159,부산,2018-04,14.5,18.7,24.3,2018-04-27,11.1,3.0,2018-04-08
159,부산,2018-05,17.8,21.5,26.6,2018-05-26,15.0,9.8,2018-05-10
159,부산,2018-06,21.5,25.2,31.3,2018-06-24,18.9,15.1,2018-06-17
159,부산,2018-07,26.7,30.2,35.4,2018-07-29,23.9,17.8,2018-07-08
159,부산,2018-08,27.9,31.3,36.4,2018-08-05,25.3,21.2,2018-08-19
159,부산,2018-09,21.9,25.3,30.0,2018-09-04,19.5,14.9,2018-09-25
159,부산,2018-10,16.4,21.1,25.6,2018-10-07,13.0,7.9,2018-10-31
159,부산,2018-11,12.4,17.5,22.5,2018-11-04,8.9,2.7,2018-11-23
159,부산,2018-12,5.7,10.1,18.8,2018-12-03,2.0,-7.1,2018-12-28
159,부산,2019-01,4.5,9.6,13.7,2019-01-30,0.5,-4.4,2019-01-16
159,부산,2019-02,6.6,11.3,16.5,2019-02-28,2.7,-4.2,2019-02-01
159,부산,2019-03,10.5,15.1,21.0,2019-03-21,6.7,0.5,2019-03-13
159,부산,2019-04,13.4,17.3,23.4,2019-04-17,9.9,2.1,2019-04-01
159,부산,2019-05,19.3,23.6,30.1,2019-05-25,15.7,11.0,2019-05-07
159,부산,2019-06,21.1,24.7,29.7,2019-06-05,18.3,15.5,2019-06-13
159,부산,2019-07,24.3,27.1,30.9,2019-07-31,22.4,19.8,2019-07-04
159,부산,2019-08,27.0,30.1,35.0,2019-08-13,24.6,20.3,2019-08-30
159,부산,2019-09,23.1,26.6,30.5,2019-09-09,20.7,15.8,2019-09-25
159,부산,2019-10,18.6,22.8,28.8,2019-10-03,15.5,10.4,2019-10-27
159,부산,2019-11,13.0,17.9,24.0,2019-11-01,9.4,2.0,2019-11-20
159,부산,2019-12,7.0,11.7,16.6,2019-12-17,3.4,-2.8,2019-12-06
159,부산,2020-01,6.4,10.9,17.7,2020-01-07,3.1,-3.2,2020-01-01
159,부산,2020-02,7.1,11.8,18.1,2020-02-14,3.1,-5.0,2020-02-06
159,부산,2020-03,10.4,15.0,18.2,2020-03-19,6.4,-0.3,2020-03-05
159,부산,2020-04,12.6,17.5,24.4,2020-04-29,8.9,4.4,2020-04-23
159,부산,2020-05,17.9,21.8,26.0,2020-05-27,15.0,12.2,2020-05-22
159,부산,2020-06,22.4,26.6,30.7,2020-06-28,19.5,16.8,2020-06-18
159,부산,2020-07,22.1,24.8,30.6,2020-07-31,20.3,17.8,2020-07-17
159,부산,2020-08,27.2,30.4,33.2,2020-08-20,24.8,23.4,2020-08-27
159,부산,2020-09,21.9,25.6,30.6,2020-09-01,19.2,15.5,2020-09-29
159,부산,2020-10,17.3,22.2,25.9,2020-10-03,13.8,7.0,2020-10-24
159,부산,2020-11,12.4,17.2,23.3,2020-11-18,8.5,1.1,2020-11-29
159,부산,2020-12,4.3,9.3,15.0,2020-12-28,0.5,-8.0,2020-12-31
159,부산,2021-01,3.3,7.9,15.7,2021-01-15,-0.8,-12.2,2021-01-08
159,부산,2021-02,7.2,11.9,19.3,2021-02-21,3.2,-7.2,2021-02-18
159,부산,2021-03,11.4,15.9,21.6,2021-03-30,7.7,1.6,2021-03-03
159,부산,2021-04,14.7,19.7,26.5,2021-04-22,10.8,6.3,2021-04-05
159,부산,2021-05,17.7,21.5,26.5,2021-05-23,14.7,8.6,2021-05-02
159,부산,2021-06,21.9,25.4,30.9,2021-06-21,19.3,16.6,2021-06-01
159,부산,2021-07,26.3,29.5,32.4,2021-07-20,24.0,20.8,2021-07-05
159,부산,2021-08,26.2,29.4,35.6,2021-08-06,23.8,20.4,2021-08-17
159,부산,2021-09,22.9,26.4,28.8,2021-09-12,20.5,18.9,2021-09-27
159,부산,2021-10,18.7,23.3,28.4,2021-10-10,15.2,5.5,2021-10-17
159,부산,2021-11,12.5,17.4,22.3,2021-11-01,8.6,3.6,2021-11-23
159,부산,2021-12,6.0,10.8,17.8,2021-12-10,1.9,-8.6,2021-12-26
159,부산,2022-01,4.0,9.2,13.2,2022-01-22,0.0,-6.1,2022-01-14
159,부산,2022-02,3.6,8.8,15.2,2022-02-28,-0.5,-7.5,2022-02-17
159,부산,2022-03,10.5,14.8,20.1,2022-03-12,6.8,-0.8,2022-03-06
159,부산,2022-04,14.9,19.1,23.6,2022-04-25,11.4,5.6,2022-04-02
159,부산,2022-05,19.0,23.4,27.4,2022-05-31,15.3,8.3,2022-05-03
159,부산,2022-06,21.7,24.9,28.6,2022-06-22,19.4,14.7,2022-06-09
159,부산,2022-07,26.2,29.7,32.9,2022-07-29,23.7,20.1,2022-07-18
159,부산,2022-08,26.4,29.7,33.1,2022-08-05,24.0,19.5,2022-08-28
159,부산,2022-09,22.9,26.9,31.0,2022-09-18,20.2,15.4,2022-09-21
159,부산,2022-10,17.6,22.7,30.8,2022-10-01,14.0,8.1,2022-10-19
159,부산,2022-11,14.4,19.8,24.2,2022-11-12,10.4,-0.8,2022-11-30
159,부산,2022-12,3.3,8.1,16.4,2022-12-09,-0.3,-6.5,2022-12-24
159,부산,2023-01,3.8,8.9,17.2,2023-01-12,-0.2,-12.0,2023-01-25
159,부산,2023-02,6.8,11.8,15.7,2023-02-07,2.9,-2.7,2023-02-21
159,부산,2023-03,12.3,17.0,23.6,2023-03-31,8.5,0.0,2023-03-13
159,부산,2023-04,14.6,19.0,25.1,2023-04-20,11.0,4.9,2023-04-08
159,부산,2023-05,17.9,21.6,25.3,2023-05-27,14.9,9.1,2023-05-08
159,부산,2023-06,22.5,26.0,28.9,2023-06-19,19.9,16.2,2023-06-01
159,부산,2023-07,25.5,28.5,33.1,2023-07-28,23.3,20.4,2023-07-07
159,부산,2023-08,27.8,31.0,35.2,2023-08-07,25.5,23.5,2023-08-13
159,부산,2023-09,24.5,28.2,31.7,2023-09-05,21.9,16.6,2023-09-30
159,부산,2023-10,18.3,23.3,26.5,2023-10-04,14.9,8.8,2023-10-21
159,부산,2023-11,11.8,16.7,25.7,2023-11-03,7.9,-0.9,2023-11-25
159,부산,2023-12,6.4,10.8,20.7,2023-12-09,2.7,-8.1,2023-12-22
