지점번호,지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),	최고기온일자,평균최저기온(℃),최저기온(℃),최저기온일자
133,대전,2015-01,0.0,5.0,10.3,2015-01-04,-4.4,-9.9,2015-01-03
133,대전,2015-02,1.9,7.2,12.4,2015-02-25,-2.4,-12.4,2015-02-09
133,대전,2015-03,7.2,14.3,23.4,2015-03-30,0.6,-6.0,2015-03-05
133,대전,2015-04,13.3,19.3,27.0,2015-04-26,7.8,3.3,2015-04-18
133,대전,2015-05,19.5,26.0,32.1,2015-05-28,13.0,5.7,2015-05-05
133,대전,2015-06,23.4,28.9,35.0,2015-06-10,18.5,13.5,2015-06-04
133,대전,2015-07,25.4,29.5,34.3,2015-07-30,22.1,16.5,2015-07-04
133,대전,2015-08,26.4,31.2,36.3,2015-08-07,22.6,18.7,2015-08-30
133,대전,2015-09,21.7,27.7,31.3,2015-09-22,16.5,12.8,2015-09-14
133,대전,2015-10,15.5,22.0,26.7,2015-10-07,10.1,-0.1,2015-10-31
133,대전,2015-11,10.1,13.8,21.4,2015-11-06,6.9,-2.3,2015-11-27
133,대전,2015-12,3.1,7.9,14.2,2015-12-13,-0.8,-7.6,2015-12-28
133,대전,2016-01,-1.3,3.6,14.1,2016-01-03,-5.4,-17.0,2016-01-24
133,대전,2016-02,1.5,7.0,18.7,2016-02-13,-3.3,-9.7,2016-02-02
133,대전,2016-03,7.5,14.1,22.9,2016-03-30,1.6,-7.5,2016-03-01
133,대전,2016-04,14.8,21.5,29.2,2016-04-26,8.9,4.8,2016-04-01
133,대전,2016-05,19.8,26.4,31.3,2016-05-19,13.5,9.2,2016-05-05
133,대전,2016-06,23.7,28.7,32.0,2016-06-21,19.2,14.6,2016-06-05
133,대전,2016-07,26.6,30.7,34.7,2016-07-31,23.1,20.0,2016-07-04
133,대전,2016-08,27.9,33.2,37.6,2016-08-20,23.5,15.8,2016-08-29
133,대전,2016-09,22.4,26.6,31.5,2016-09-01,19.0,12.8,2016-09-21
133,대전,2016-10,15.7,20.6,27.9,2016-10-04,12.0,1.2,2016-10-30
133,대전,2016-11,7.2,12.8,21.9,2016-11-14,2.4,-4.9,2016-11-24
133,대전,2016-12,2.5,7.6,14.8,2016-12-22,-2.0,-8.3,2016-12-16
133,대전,2017-01,-0.4,5.0,14.8,2017-01-08,-5.1,-11.8,2017-01-15
133,대전,2017-02,1.2,7.2,15.5,2017-02-16,-4.2,-9.0,2017-02-02
