다중지점통계
[검색조건]
,분류 : 지상
,요소 : 바람일사, 일조
,검색구분 : 월
,지점명 : 부산,북부산
,기간 : 2015 ~ 2024  01~12


선텍 전체 통계
일시,평균풍속(m/s),최대풍속(m/s)
 2015-01,3.1,10.3
 2015-02,3.3,9.9
 2015-03,3.5,10.3
 2015-04,3.5,14.8
 2015-05,3.0,13.3
 2015-06,2.6,10.8
 2015-07,3.7,13.4
 2015-08,3.0,10.2
 2015-09,2.9,7.0
 2015-10,2.9,15.1
 2015-11,2.7,10.7
 2015-12,3.0,11.1
 2016-01,3.5,12.5
 2016-02,3.7,13.5
 2016-03,3.2,13.0
 2016-04,3.2,15.1
 2016-05,3.4,15.5
 2016-06,2.9,12.7
 2016-07,3.3,18.6
 2016-08,3.0,13.3
 2016-09,2.6,9.1
 2016-10,2.7,16.7
 2016-11,2.8,9.0
 2016-12,3.1,16.5
 2017-01,3.3,11.6
 2017-02,3.5,12.5
 2017-03,3.1,9.8
 2017-04,3.8,15.3
 2017-05,3.3,9.6
 2017-06,2.9,8.1
 2017-07,3.5,11.4
 2017-08,2.9,9.5
 2017-09,2.8,8.8
 2017-10,2.9,9.6
 2017-11,2.9,8.9
 2017-12,3.0,11.8
 2018-01,3.1,11.4
 2018-02,3.5,12.1
 2018-03,3.9,12.5
 2018-04,4.0,14.3
 2018-05,3.8,13.3
 2018-06,3.1,12.5
 2018-07,3.0,8.3
 2018-08,3.5,15.5
 2018-09,3.0,9.7
 2018-10,2.0,19.2
 2018-11,2.3,11.7
 2018-12,2.9,8.8
 2019-01,3.1,8.2
 2019-02,2.9,9.5
 2019-03,3.6,12.7
 2019-04,3.2,10.0
 2019-05,3.3,14.8
 2019-06,2.6,12.5
 2019-07,3.7,10.7
 2019-08,3.1,11.5
 2019-09,2.8,12.2
 2019-10,3.0,14.5
 2019-11,2.7,15.8
 2019-12,2.6,10.1
 2020-01,3.0,15.9
 2020-02,3.1,14.2
 2020-03,3.6,13.3
 2020-04,3.7,13.0
 2020-05,3.1,11.8
 2020-06,3.0,13.0
 2020-07,2.7,13.2
 2020-08,4.0,13.4
 2020-09,3.5,20.5
 2020-10,2.8,8.9
 2020-11,2.8,15.6
 2020-12,2.9,10.0
 2021-01,3.2,11.8
 2021-02,3.7,12.1
 2021-03,3.3,11.3
 2021-04,3.4,12.9
 2021-05,3.5,14.8
 2021-06,2.6,9.4
 2021-07,3.2,14.6
 2021-08,3.0,18.0
 2021-09,3.0,9.4
 2021-10,2.6,9.6
 2021-11,3.0,11.8
 2021-12,3.0,11.2
 2022-01,2.8,8.9
 2022-02,3.3,11.6
 2022-03,3.4,12.0
 2022-04,3.3,11.9
 2022-05,3.2,9.0
 2022-06,4.3,13.9
 2022-07,2.6,10.1
 2022-08,3.7,10.5
 2022-09,3.0,16.2
 2022-10,3.1,12.6
 2022-11,2.7,12.3
 2022-12,3.3,14.7
 2023-01,3.2,8.7
 2023-02,2.3,8.2
 2023-03,2.7,10.0
 2023-04,3.3,11.3
 2023-05,2.7,10.1
 2023-06,2.6,9.2
 2023-07,2.7,12.0
 2023-08,2.8,11.8
 2023-09,2.5,10.4
 2023-10,2.2,7.7
 2023-11,2.6,12.7
 2023-12,2.5,8.9
 2024-01,2.5,8.5
 2024-02,3.2,8.8
 2024-03,3.1,10.9
 2024-04,2.5,8.7
 2024-05,3.0,9.1
 2024-06,2.5,11.9
 2024-07,3.5,10.8
 2024-08,2.8,9.9
 2024-09,2.6,8.8
 2024-10,2.7,10.7
 2024-11,2.5,9.9
 2024-12,2.5,8.1
 평균,3.1,11.8




