다중지점통계
[검색조건]
,분류 : 지상
,요소 : 바람일사, 일조
,검색구분 : 월
,지점명 : 광주
,기간 : 2015 ~ 2024  01~12


선텍 전체 통계
일시,평균풍속(m/s),최대풍속(m/s)
 2015-01,1.6,6.3
 2015-02,1.8,6.7
 2015-03,1.9,8.1
 2015-04,1.9,12.8
 2015-05,2.0,9.7
 2015-06,1.8,10.7
 2015-07,1.9,8.3
 2015-08,1.5,6.6
 2015-09,1.4,6.6
 2015-10,1.3,8.7
 2015-11,1.1,7.5
 2015-12,1.3,7.9
 2016-01,1.5,6.7
 2016-02,1.8,10.2
 2016-03,1.7,7.5
 2016-04,1.8,12.4
 2016-05,1.8,8.9
 2016-06,1.6,6.5
 2016-07,1.9,9.5
 2016-08,1.4,7.1
 2016-09,1.5,7.1
 2016-10,1.5,9.2
 2016-11,1.5,5.7
 2016-12,1.5,8.0
 2017-01,1.6,5.4
 2017-02,1.6,7.8
 2017-03,1.5,7.3
 2017-04,1.9,10.1
 2017-05,1.4,6.4
 2017-06,1.5,5.6
 2017-07,1.8,7.8
 2017-08,1.6,9.1
 2017-09,1.5,6.5
 2017-10,1.5,7.5
 2017-11,1.3,7.3
 2017-12,1.5,7.1
 2018-01,1.5,6.7
 2018-02,1.6,8.3
 2018-03,1.8,7.9
 2018-04,1.7,10.6
 2018-05,1.6,6.7
 2018-06,1.5,6.1
 2018-07,1.7,6.0
 2018-08,2.0,7.9
 2018-09,1.5,5.8
 2018-10,1.4,11.6
 2018-11,1.0,7.7
 2018-12,1.7,6.5
 2019-01,1.4,5.4
 2019-02,1.5,6.5
 2019-03,1.7,9.1
 2019-04,1.5,8.0
 2019-05,1.6,7.2
 2019-06,1.3,5.8
 2019-07,1.8,7.6
 2019-08,1.5,6.0
 2019-09,1.6,12.5
 2019-10,1.2,7.4
 2019-11,1.2,7.7
 2019-12,1.3,5.7
 2020-01,1.4,10.0
 2020-02,1.4,5.5
 2020-03,1.7,7.9
 2020-04,1.8,9.1
 2020-05,1.7,7.9
 2020-06,1.6,6.9
 2020-07,1.5,8.3
 2020-08,2.2,8.4
 2020-09,1.5,7.0
 2020-10,1.2,5.3
 2020-11,1.4,8.8
 2020-12,1.4,5.3
 2021-01,1.5,5.6
 2021-02,1.5,7.8
 2021-03,1.5,5.4
 2021-04,1.4,7.9
 2021-05,1.4,7.2
 2021-06,1.3,5.7
 2021-07,1.5,8.0
 2021-08,1.3,8.0
 2021-09,1.5,5.6
 2021-10,1.2,6.2
 2021-11,1.0,6.1
 2021-12,1.2,5.5
 2022-01,1.2,4.9
 2022-02,1.5,6.6
 2022-03,1.4,7.9
 2022-04,1.4,6.5
 2022-05,1.3,6.9
 2022-06,1.9,7.9
 2022-07,1.5,8.0
 2022-08,1.8,8.3
 2022-09,1.5,7.5
 2022-10,1.1,6.6
 2022-11,1.0,6.0
 2022-12,1.2,5.3
 2023-01,1.2,5.5
 2023-02,1.1,5.6
 2023-03,1.2,5.9
 2023-04,1.4,7.4
 2023-05,1.2,5.3
 2023-06,1.1,5.6
 2023-07,1.3,7.6
 2023-08,1.0,6.2
 2023-09,1.0,5.7
 2023-10,0.9,5.1
 2023-11,1.3,5.6
 2023-12,1.2,5.1
 2024-01,1.2,5.9
 2024-02,1.3,5.6
 2024-03,1.5,6.9
 2024-04,1.2,5.7
 2024-05,1.4,6.7
 2024-06,1.3,5.3
 2024-07,1.9,6.8
 2024-08,1.3,5.9
 2024-09,1.1,4.9
 2024-10,1.2,5.4
 2024-11,1.3,7.6
 2024-12,1.2,5.6
 평균,1.5,7.2




